Name,Pos,Team,VOR,VOR Rank,ADP Rank,Average ADP,predicted_fantasy_points,Positional_Rank,Proj_Points_Normalized,ADP Normalized,Composite_Score,Tier,Overall_Rank,Cluster,Positional_Rank_Within_Tier
Taysom Hill,TE,NO,0.5178149347807056,163.0,147.0,147.7,107.45401875303862,19.0,0.29438222807381387,0.5617210682492582,107.42408501135617,3,156.0,19,8.0
Elijah Moore,WR,CLE,0.5583471942572004,144.5,227.0,233.7,107.48438675508474,70.0,0.2944654245908751,0.3065281899109793,107.3682056800457,3,157.0,32,9.0
Rico Dowdle,RB,DAL,0.5147947124223059,166.0,146.0,143.3,106.94830076962292,42.0,0.2929967574468188,0.5747774480712166,107.16285304390202,3,158.0,19,10.0
Rondale Moore,WR,ATL,0.5583471942572004,144.5,240.0,245.7,105.73637056967253,71.0,0.2896765399559188,0.27091988130563804,106.27461830411526,3,159.0,32,11.0
Luke McCaffrey,WR,WAS,0.4594239691849777,241.5,205.0,212.7,104.21799496663651,72.0,0.28551678122132956,0.3688427299703264,104.22936048944756,3,160.0,18,12.0
Brock Bowers,TE,LV,0.5064781581020747,169.0,104.0,102.3,102.76270794206522,20.0,0.28152986065984903,0.6964391691394659,102.54955167784304,3,161.0,20,13.0
Chuba Hubbard,RB,CAR,0.5031953077125099,172.0,152.0,151.0,102.55997134239931,43.0,0.2809744412105409,0.5519287833827893,102.50207087939071,3,162.0,8,14.0
Chigoziem Okonkwo,TE,TEN,0.5355860982228836,155.0,178.0,179.0,102.53208702504567,21.0,0.28089804902376053,0.4688427299703264,102.44986494128867,3,163.0,19,15.0
J.K. Dobbins,RB,LAC,0.507572441565263,168.0,156.0,156.3,101.80821922715899,44.0,0.2789149327322934,0.5362017804154302,101.9124447976736,3,164.0,8,16.0
Blake Corum,RB,LAR,0.49553532347019175,177.0,116.0,117.0,101.37419440821297,45.0,0.2777258734981821,0.6528189910979229,101.37501260330725,3,165.0,20,17.0
Zach Charbonnet,RB,SEA,0.5303335375995798,158.0,128.0,128.3,100.69409833303561,46.0,0.2758626747063798,0.6192878338278931,100.76800235737274,3,166.0,20,18.0
Caleb Williams,QB,CHI,0.6848901339402959,67.0,109.0,108.7,175.48860898943235,28.0,0.48077055018868275,0.6774480712166172,100.06445940087183,3,167.0,27,19.0
Demarcus Robinson,WR,LAR,0.5443403659283902,153.0,192.0,196.3,99.994491348419,73.0,0.2739460236094974,0.41750741839762606,99.92963067252238,3,168.0,18,20.0
Rashod Bateman,WR,BAL,0.5425895123872888,154.0,190.0,192.7,99.49101573191342,74.0,0.2725666961958955,0.42818991097922854,99.57381431651343,3,169.0,18,21.0
Dameon Pierce,RB,HOU,0.48262277860456976,184.0,196.0,202.0,99.35072955945016,47.0,0.2721823666333819,0.400593471810089,99.28015530247058,3,170.0,18,22.0
Trey Benson,RB,ARI,0.5097610084916397,167.0,110.0,111.0,98.48220571590173,48.0,0.269802949026055,0.6706231454005935,98.59889880095926,3,171.0,20,23.0
Kendre Miller,RB,NO,0.48699991245732294,182.0,137.0,135.7,97.13178053844985,49.0,0.2661033091503336,0.5973293768545994,97.66879188693663,3,172.0,8,24.0
Luke Musgrave,TE,GB,0.5007878840934956,176.0,149.0,149.0,93.43430664525509,22.0,0.2559736684393141,0.5578635014836795,93.08878962342125,3,173.0,8,25.0
Antonio Gibson,RB,NE,0.48218506521929444,185.0,153.0,153.3,92.3798914738862,50.0,0.2530849808772807,0.5451038575667655,92.1999911631566,3,174.0,8,26.0
Khalil Shakir,WR,BUF,0.5239866935130877,161.0,121.0,122.7,91.76002112036025,75.0,0.25138677714413543,0.6359050445103858,92.04363703494546,3,175.0,20,27.0
Cade Otton,TE,TB,0.4815284951413814,186.0,171.0,172.7,90.68897472026248,23.0,0.24845252648240942,0.48753709198813056,90.46177368854562,3,176.0,8,28.0
Jaleel McLaughlin,RB,DEN,0.4754005077475269,191.0,155.0,155.7,89.29575812728446,51.0,0.24463565476751437,0.5379821958456974,89.5074464260986,3,177.0,8,29.0
Juwan Johnson,TE,NO,0.48109078175610615,188.0,199.0,204.0,89.63217232812376,24.0,0.24555729886373337,0.3946587537091988,89.408606529664,3,178.0,18,30.0
Quentin Johnston,WR,LAC,0.5301146809069421,159.0,160.0,159.0,88.60756383001444,76.0,0.2427502699961578,0.5281899109792285,88.86169920278923,3,179.0,8,31.0
J.J. McCarthy,QB,MIN,0.4419154337739648,289.0,193.0,197.0,156.0573718598745,29.0,0.427536516256675,0.41543026706231456,88.45196814622874,3,180.0,30,32.0
Darius Slayton,WR,NYG,0.5246432635910007,160.0,213.0,226.3,87.61601346154016,77.0,0.24003380754918568,0.328486646884273,87.84718320790515,3,181.0,1,33.0
Jermaine Burton,WR,CIN,0.5014444541714086,174.0,180.0,181.3,85.86673241947693,78.0,0.2352414576988429,0.4620178041543026,85.92890725204592,3,182.0,18,34.0
Justice Hill,RB,BAL,0.4686159502757595,195.0,256.0,254.0,86.19742169468662,52.0,0.2361474177249642,0.24629080118694358,85.86225542222915,3,183.0,1,35.0
Mike Gesicki,TE,CIN,0.4594239691849777,241.5,204.0,212.3,85.24274340866361,25.0,0.233531970446263,0.3700296735905044,85.15099946904448,3,184.0,18,36.0
Alexander Mattison,RB,LV,0.4889696226910619,181.0,208.0,219.0,84.98489392567801,53.0,0.23282556312720834,0.35014836795252224,85.02982838942546,3,185.0,1,37.0
Dontayvion Wicks,WR,GB,0.5021010242493216,173.0,150.0,149.3,84.4697210051395,79.0,0.23141418964903276,0.556973293768546,84.75303757813782,3,186.0,8,38.0
Noah Fant,TE,SEA,0.4651142431935569,201.0,185.0,184.0,84.14997881144761,26.0,0.2305382203695165,0.4540059347181009,84.14191769246477,3,187.0,18,39.0
Clyde Edwards-Helaire,RB,KC,0.4594239691849777,241.5,202.0,206.3,83.87823513727017,54.0,0.22979374836932842,0.387833827893175,83.87189159065863,3,188.0,18,40.0
Samaje Perine,RB,DEN,0.46577081327146985,198.0,218.0,235.0,83.66844457802186,55.0,0.2292190038136845,0.3026706231454006,83.7014103196301,3,189.0,1,41.0
AJ Dillon,RB,GB,0.46336338965245555,204.0,233.0,238.7,83.58637362236175,56.0,0.2289941613083251,0.2916913946587537,83.64567784421564,3,190.0,1,42.0
Greg Dortch,WR,ARI,0.5012255974787709,175.0,228.0,234.3,81.89347278647045,81.0,0.22435627129954763,0.3047477744807121,81.69397374415001,3,191.0,1,43.0
Jalin Hyatt,WR,NYG,0.5053838746388865,171.0,215.0,226.3,81.89812770693352,80.0,0.22436902397155867,0.328486646884273,81.63759001480231,3,192.0,1,44.0
K.J. Osborn,WR,NE,0.5062593014094371,170.0,266.0,259.7,81.33145972901524,82.0,0.22281657405992658,0.2293768545994066,81.37000201811337,3,193.0,1,45.0
Jelani Woods,TE,IND,0.40558522279611314,313.0,216.0,229.7,80.61797739711865,27.0,0.2208619099069018,0.3183976261127597,80.85610955507012,3,194.0,38,46.0
Braelon Allen,RB,NYJ,0.47102337389477367,194.0,184.0,183.3,79.56826458895921,57.0,0.2179861049915565,0.4560830860534124,79.51869650025769,3,195.0,18,47.0
Zach Ertz,TE,WAS,0.4602993959555283,207.0,224.0,233.0,78.69355867969301,28.0,0.21558975092804844,0.3086053412462908,78.62447561395179,3,196.0,1,48.0
Tank Bigsby,RB,JAC,0.44169657708132715,290.0,210.0,223.3,78.25297679654818,58.0,0.21438272788773555,0.33738872403560827,78.39131895661991,3,197.0,1,49.0
Ben Sinnott,TE,WAS,0.4160903440427208,307.0,201.0,204.7,76.92632720869246,29.0,0.21074822388241063,0.3925816023738873,76.88531348223513,3,198.0,35,50.0
Roman Wilson,WR,PIT,0.4655519565788322,200.0,191.0,192.7,76.85307321623804,83.0,0.21054753642777393,0.42818991097922854,76.8634700549321,3,199.0,18,51.0
Adonai Mitchell,WR,IND,0.4845924888383087,183.0,157.0,157.0,76.59646519451118,84.0,0.20984453022982816,0.5341246290801187,76.59476760610698,3,200.0,8,52.0
Kimani Vidal,RB,LAC,0.4456359975488051,287.0,148.0,148.0,76.43206720307666,59.0,0.20939414365917244,0.5608308605341246,76.4952578695186,3,201.0,8,53.0
Troy Franklin,WR,DEN,0.45285826840584786,279.0,174.0,176.0,76.13588294503087,85.0,0.20858271396286393,0.4777448071216617,76.20553934964082,3,202.0,35,54.0
Kenneth Gainwell,RB,PHI,0.4500131314015583,283.0,229.0,235.7,75.67888408519748,60.0,0.2073307147901374,0.3005934718100891,75.9513764337913,3,203.0,1,55.0
MarShawn Lloyd,RB,GB,0.4506697014794713,281.0,142.0,143.0,75.52995061553129,61.0,0.20692269499577437,0.5756676557863502,75.67630581398345,3,204.0,8,56.0
Ricky Pearsall,WR,SF,0.4813096384487438,187.0,177.0,178.7,74.48348101396866,86.0,0.204055775205389,0.46973293768546,74.44372249600089,3,205.0,18,57.0
Gerald Everett,TE,CHI,0.4552656920248621,277.5,302.0,278.0,74.64380768094061,30.0,0.20449500793014477,0.17507418397626118,74.42749641102306,3,206.0,11,58.0
Tyler Boyd,WR,TEN,0.4907204762321632,179.0,206.0,216.0,74.28226744568555,87.0,0.20350452826984164,0.35905044510385753,74.257394081607,3,207.0,1,59.0
Marvin Mims Jr.,WR,DEN,0.47737021798126583,190.0,187.0,187.0,73.3966359218632,88.0,0.20107824227085605,0.4451038575667656,73.24952686165258,3,208.0,18,60.0
Jamaal Williams,RB,NO,0.4430097172371531,288.0,284.0,243.0,73.1809662992127,62.0,0.20048739136755378,0.27893175074183973,73.0455454083053,3,209.0,1,61.0
Elijah Mitchell,RB,SF,0.43075374244944414,298.0,182.0,182.3,72.87570744360752,63.0,0.19965110080257412,0.4590504451038575,72.77942503680177,3,210.0,35,62.0
Xavier Legette,WR,CAR,0.473430797513788,193.0,166.0,162.7,72.5904694253224,89.0,0.1988696595467834,0.5172106824925816,72.67658441711175,3,211.0,8,63.0
Isaiah Likely,TE,BAL,0.43403659283900903,297.0,183.0,183.0,72.68352310689879,31.0,0.19912459045053943,0.456973293768546,72.66142546951748,3,212.0,35,64.0
Ray Davis,RB,BUF,0.46620852665674517,196.0,165.0,161.7,72.5904694253224,64.0,0.1988696595467834,0.5201780415430267,72.62540764136367,3,213.0,8,65.0
Dawson Knox,TE,BUF,0.4351308763021973,295.0,249.0,249.7,72.19604057742146,32.0,0.19778907787651076,0.25905044510385755,72.18635168550186,3,214.0,38,66.0
Austin Hooper,TE,NE,0.4364440164580233,293.0,0.0,0.0,72.13868087662668,33.0,0.1976319346005536,1.0,72.16944195894328,3,215.0,10,67.0
Kylen Granson,TE,IND,0.4524205550205725,280.0,0.0,0.0,71.98462805125303,34.0,0.19720988976220474,1.0,72.02556137260996,3,216.0,10,68.0
Daniel Jones,QB,NYG,0.5168957366716275,164.5,179.0,180.0,126.15710004656759,30.0,0.3456213981572411,0.4658753709198813,71.77432419722524,3,217.0,19,69.0
Justin Watson,WR,KC,0.49465989669964106,178.0,0.0,0.0,71.40053861177584,90.0,0.19560971182020648,1.0,71.73953370537998,3,218.0,10,70.0
Khalil Herbert,RB,CHI,0.4241880416703143,303.0,189.0,189.7,70.52811547086368,65.0,0.19321961165433796,0.4370919881305638,70.60062439492985,3,219.0,35,71.0
Tanner Hudson,TE,CIN,0.4552656920248621,277.5,0.0,0.0,70.1953044917268,35.0,0.19230783898447706,1.0,70.3723401025784,3,220.0,10,72.0
Jalen McMillan,WR,TB,0.46577081327146985,199.0,230.0,236.0,68.97062007484017,91.0,0.18895267989862694,0.2997032640949555,68.88794938322029,3,221.0,1,73.0
Tutu Atwell,WR,LAR,0.4749627943622516,192.0,308.0,288.5,68.2765120677577,92.0,0.1870510938619201,0.14391691394658757,68.229474368193,3,222.0,11,74.0
Ainias Smith,WR,PHI,0.43688172984329865,292.0,0.0,0.0,67.22393693291335,93.0,0.18416744728446893,1.0,67.16112729551318,4,223.0,10,1.0
Jonathan Mingo,WR,CAR,0.4640199597303686,202.0,297.0,269.5,66.21298049426055,94.0,0.1813978197512245,0.2002967359050445,66.25323643878448,4,224.0,11,2.0
Ja’Tavion Sanders,TE,CAR,0.435349732994835,294.0,0.0,0.0,66.05904515775256,36.0,0.18097609678668222,1.0,66.07317852848671,4,225.0,10,3.0
Ja’Lynn Polk,WR,NE,0.4894073360763372,180.0,0.0,0.0,64.65358543891169,95.0,0.17712568366764128,1.0,64.57042381527282,4,226.0,10,4.0
Parris Campbell,WR,PHI,0.4782456447518165,189.0,0.0,0.0,64.44965769749659,96.0,0.17656700095311376,1.0,64.49293127353509,4,227.0,10,5.0
Will Levis,QB,TEN,0.5168957366716275,164.5,158.0,157.3,112.83494730627851,31.0,0.30912387994492146,0.5332344213649851,64.38686414585626,4,228.0,19,6.0
Roschon Johnson,RB,CHI,0.42221833143657533,304.0,176.0,177.3,64.02897495688524,66.0,0.1754144938255954,0.4738872403560831,63.871871679172415,4,229.0,35,7.0
Kalif Raymond,WR,DET,0.4638011030377309,203.0,271.0,223.0,63.62585921291011,97.0,0.17431011343796401,0.33827893175074186,63.801833617530654,4,230.0,1,8.0
Jalen Tolbert,WR,DAL,0.45920511249234003,276.0,225.0,233.0,62.48037079395226,98.0,0.1711719205912118,0.3086053412462908,62.30413263772012,4,231.0,1,9.0
Brandon Powell,WR,MIN,0.460518252648166,205.0,347.0,333.0,61.808789389079884,99.0,0.1693320486851303,0.011869436201780381,61.8043957978175,4,232.0,23,10.0
Tim Patrick,WR,DEN,0.44848113455309463,285.0,329.0,302.0,61.74127502346623,100.0,0.1691470855761933,0.10385756676557867,61.78530916365714,4,233.0,11,11.0
Drake Maye,QB,NE,0.4594239691849777,241.5,200.0,204.3,107.0579563639037,32.0,0.29329717113575976,0.3937685459940653,60.93302063942527,4,234.0,18,12.0
A.T. Perry,WR,NO,0.4659896699641075,197.0,232.0,238.0,60.81433508372863,101.0,0.1666076305803061,0.2937685459940653,60.930111321139975,4,235.0,1,13.0
Hayden Hurst,TE,LAC,0.4261577519040532,301.0,226.0,233.7,60.93904420527314,37.0,0.16694928508041162,0.3065281899109793,60.804490667046075,4,236.0,38,14.0
Quez Watkins,WR,PIT,0.4495754180162829,284.0,0.0,0.0,60.14494071778135,102.0,0.16477375031045302,1.0,60.41687811247994,4,237.0,10,15.0
Bucky Irving,RB,TB,0.41061892672677935,310.0,172.0,173.7,59.40107379147925,67.0,0.16273584418375417,0.48456973293768546,59.39322257380798,4,238.0,35,16.0
Donald Parham Jr.,TE,LAC,0.41652805742799615,306.0,288.0,264.0,58.97200877090931,38.0,0.16156037286858435,0.21661721068249262,59.0489561178215,4,239.0,11,17.0
Nelson Agholor,WR,BAL,0.4602993959555283,206.0,0.0,0.0,58.313020132151806,103.0,0.15975500024498224,1.0,58.717894106542765,4,240.0,10,18.0
Kavontae Turpin,WR,DAL,0.4467302810119934,286.0,0.0,0.0,56.84714852010148,105.0,0.15573908202960768,1.0,56.78804656803188,4,241.0,10,19.0
Calvin Austin III,WR,PIT,0.4504508447868336,282.0,259.0,271.0,56.84889086455621,104.0,0.15574385537590602,0.19584569732937684,56.74957658859337,4,242.0,11,20.0
Tucker Kraft,TE,GB,0.4112754968046923,309.0,236.0,242.0,56.453767605895486,39.0,0.154661371290172,0.28189910979228483,56.37710947909547,4,243.0,38,21.0
Eric Gray,RB,NYG,0.40470979602556245,314.0,251.0,250.3,56.29191129768393,68.0,0.15421794794321808,0.2572700296735905,56.19885799154611,4,244.0,38,22.0
Trey Sermon,RB,IND,0.40361551256237416,316.0,247.0,248.3,56.20003309367161,69.0,0.15396623739090518,0.26320474777448066,56.1343735439415,4,245.0,38,23.0
Chase Edmonds,RB,TB,0.4062417928740261,312.0,0.0,0.0,55.7232851541572,70.0,0.15266013341924817,1.0,55.80886235493755,4,246.0,10,24.0
Miles Sanders,RB,CAR,0.4097434999562286,311.0,246.0,248.3,55.65379626009614,71.0,0.15246976087015723,0.26320474777448066,55.80742191592666,4,247.0,38,25.0
Greg Dulcich,TE,DEN,0.4038343692550118,315.0,243.0,248.7,54.69567468470832,40.0,0.14984488031751358,0.26201780415430276,55.08216083457195,4,248.0,38,26.0
Colby Parkinson,TE,LAR,0.397268668475882,320.0,220.0,231.0,51.9592278512045,41.0,0.14234808005633576,0.314540059347181,51.29040203932232,4,249.0,38,27.0
Treylon Burks,WR,TEN,0.42812746213779224,299.0,309.0,272.0,50.4960973881136,106.0,0.13833967152321897,0.19287833827893175,50.2781339700797,4,250.0,11,28.0
Will Dissly,TE,LAC,0.3872012606145496,330.0,317.0,305.0,50.158727912843325,42.0,0.1374154103465159,0.09495548961424327,50.13034317576912,4,251.0,23,29.0
Daniel Bellinger,TE,NYG,0.3922349645452158,325.0,250.0,250.0,49.42563130041739,43.0,0.1354070106918198,0.25816023738872407,49.66929507259355,4,252.0,38,30.0
Noah Gray,TE,KC,0.39704981178324433,321.0,339.0,322.0,48.55769762764331,44.0,0.1330292099229277,0.04451038575667654,48.58478628844972,4,253.0,23,31.0
Cedrick Wilson,WR,NO,0.41893548104701045,305.0,0.0,0.0,47.7673147651979,107.0,0.13086386821883755,1.0,47.74692515773073,4,254.0,10,32.0
Michael Mayer,TE,LV,0.385012693688173,335.0,219.0,231.0,46.67432574767123,45.0,0.12786950331770525,0.314540059347181,46.81849938205084,4,255.0,38,33.0
Sam Darnold,QB,MIN,0.19298783156788935,742.0,214.0,226.3,80.71868351033314,33.0,0.2211378054977114,0.328486646884273,46.05678821337677,4,256.0,24,34.0
Tre Tucker,WR,LV,0.4263766085966909,300.0,281.0,272.3,45.15852339633846,109.0,0.12371679429217848,0.19198813056379815,45.28783638466135,4,257.0,11,35.0
D.J. Chark Jr.,WR,LAC,0.4246257550555896,302.0,239.0,245.7,45.3092075925367,108.0,0.12412961039647234,0.27091988130563804,45.24287861194379,4,258.0,38,36.0
Tyrone Tracy Jr.,RB,NYG,0.38523155038081064,333.0,181.0,182.3,45.16880754972013,72.0,0.12374496887346897,0.4590504451038575,45.23556029837053,4,259.0,35,37.0
Logan Thomas,TE,SF,0.38676354722927425,331.0,328.0,300.0,44.40382462574092,46.0,0.12164921312405404,0.10979228486646886,44.852671856942315,4,260.0,23,38.0
Khadarel Hodge,WR,ATL,0.3983629519390703,317.0,0.0,0.0,42.99342711338665,110.0,0.11778527237083887,1.0,43.18330277659256,4,261.0,13,39.0
Ty Johnson,RB,BUF,0.37779042283113023,337.5,319.0,280.0,41.02161139353808,73.0,0.11238326403558915,0.16913946587537088,40.79861771606211,4,262.0,7,40.0
Tommy Tremble,TE,CAR,0.37122472205200036,352.0,301.0,261.0,40.71352527736036,47.0,0.11153922787601611,0.2255192878338279,40.622419632976424,4,263.0,38,41.0
Donovan Peoples-Jones,WR,DET,0.41280749365315594,308.0,342.0,327.0,40.52598250952841,111.0,0.11102543361783776,0.029673590504451064,40.61766495663184,4,264.0,23,42.0
Donovan Peoples-Jones,WR,DET,0.41280749365315594,308.0,342.0,327.0,39.73599009839516,112.0,0.10886116159851664,0.029673590504451064,39.76060820331782,4,265.0,23,43.0
Adam Trautman,TE,DEN,0.37188129212991333,349.0,0.0,0.0,39.27777724143565,48.0,0.10760583654572521,1.0,39.23045317901697,4,266.0,13,44.0
Foster Moreau,TE,NO,0.3731944322857393,345.0,0.0,0.0,37.96054064605631,49.0,0.10399712047955974,1.0,37.72587580760697,4,267.0,13,45.0
Jack Stoll,TE,NYG,0.3729755755931016,347.0,0.0,0.0,37.07694930662133,50.0,0.10157642379247339,1.0,37.1822534097515,4,268.0,13,46.0
Kendrick Bourne,WR,NE,0.3961743850126937,323.0,234.0,238.7,36.05690674145501,113.0,0.09878190380570652,0.2916913946587537,35.72151112144567,4,269.0,15,47.0
Kyle Juszczyk,RB,SF,0.3646590212728706,362.0,0.0,0.0,35.130195768754675,74.0,0.09624307609046798,1.0,35.49880815171854,4,270.0,13,48.0
Michael Gallup,WR,LV,0.3963932417053314,322.0,0.0,0.0,35.52877281365022,114.0,0.0973350222074866,1.0,35.429256042552616,4,271.0,13,49.0
Olamide Zaccheaus,WR,WAS,0.3981440952464326,318.0,0.0,0.0,35.11452309634825,115.0,0.09620013906236596,1.0,35.32210264397412,4,272.0,13,50.0
Lucas Krull,TE,DEN,0.3624704543464939,364.0,306.0,302.5,32.93087604689703,51.0,0.09021779525425147,0.10237388724035612,32.69838866797197,4,273.0,7,51.0
Ameer Abdullah,RB,LV,0.3670664448918848,358.0,0.0,0.0,32.69270102102235,75.0,0.08956528829730209,1.0,32.64996666882654,4,274.0,13,52.0
Trey Palmer,WR,TB,0.3974875251685197,319.0,313.0,279.0,32.521737264042706,116.0,0.08909691408213934,0.17210682492581597,32.499423578690724,4,275.0,7,53.0
Tyler Higbee,TE,LAR,0.359844174034842,369.0,277.0,232.0,31.77599851375937,52.0,0.08705387988558741,0.3115727002967359,31.811532288566124,4,276.0,15,54.0
Derius Davis,WR,LAC,0.3909218243893899,326.0,0.0,0.0,31.407065032315373,117.0,0.0860431456055776,1.0,31.497133962387032,4,277.0,13,55.0
Craig Reynolds,RB,DET,0.35152761971461094,385.5,0.0,0.0,31.55763867121278,76.0,0.08645565882585719,1.0,31.429407244237577,4,278.0,13,56.0
Andrei Iosivas,WR,CIN,0.3955178149347807,324.0,287.0,278.0,30.655485128530863,118.0,0.0839841089197549,0.17507418397626118,30.86713605028461,4,279.0,7,57.0
Audric Estime,RB,DEN,0.3390527882342642,420.5,198.0,203.3,29.835351994746592,77.0,0.08173726304053788,0.3967359050445104,29.92048664487195,4,280.0,15,58.0
Josh Whyle,TE,TEN,0.35721789372319,372.0,0.0,0.0,28.93593276553784,53.0,0.07927320409011898,1.0,29.238838447440422,4,281.0,13,59.0
Elijah Higgins,TE,ARI,0.3556858968747264,377.0,0.0,0.0,28.038067768030746,54.0,0.07681340313020232,1.0,27.799552621699505,4,282.0,13,60.0
Mack Hollins,WR,BUF,0.3898275409262016,327.0,0.0,0.0,27.721377116634404,119.0,0.0759457938899889,1.0,27.675742072649243,4,283.0,13,61.0
Alec Pierce,WR,IND,0.38785783069246255,329.0,337.0,319.0,27.53144669790708,120.0,0.07542545839679116,0.053412462908011826,27.59772825166361,4,284.0,23,62.0
Noah Brown,WR,HOU,0.3681607283550731,357.0,307.0,284.0,27.169970859199,121.0,0.07443515515798628,0.1572700296735905,27.109179971250615,4,285.0,7,63.0
Deonte Harty,WR,BAL,0.38807668738510026,328.0,0.0,0.0,27.05981208877201,122.0,0.07413336296206384,1.0,27.10899017750588,4,286.0,13,64.0
D’Onta Foreman,RB,CLE,0.3657533047360589,359.0,0.0,0.0,27.0265796667495,78.0,0.07404231904809205,1.0,27.0331282787642,4,287.0,13,65.0
Jordan Akins,TE,CLE,0.3567801803379147,374.0,0.0,0.0,26.515884697105786,55.0,0.07264321341412473,1.0,26.549944769710443,4,288.0,13,66.0
Darnell Washington,TE,PIT,0.34561848901339404,399.0,0.0,0.0,26.32024543700078,56.0,0.07210723791542524,1.0,26.342593469040885,4,289.0,39,67.0
Emari Demercado,RB,ARI,0.31738597566313576,579.0,0.0,0.0,26.023696219782305,79.0,0.07129480837289731,1.0,26.13153527828548,4,290.0,39,68.0
Nyheim Hines,RB,CLE,0.34518077562811866,400.0,299.0,274.0,25.995081848744242,80.0,0.07121641612290175,0.18694362017804156,26.0798709339755,4,291.0,7,69.0
Trent Sherfield,WR,MIN,0.3771338527532172,339.0,0.0,0.0,25.328233508647852,123.0,0.06938951097386237,1.0,25.20365227326492,4,292.0,13,70.0
Josh Reynolds,WR,DEN,0.3729755755931016,346.0,289.0,264.5,25.248433411676434,124.0,0.0691708897382905,0.21513353115727007,25.154022982921102,4,293.0,7,71.0
Trenton Irwin,WR,CIN,0.385012693688173,334.0,0.0,0.0,25.10138169960116,125.0,0.06876802522800839,1.0,25.092864466788736,4,294.0,13,72.0
Jalen Guyton,WR,LV,0.38326184014707176,336.0,0.0,0.0,24.797709087616095,126.0,0.06793608035373973,1.0,24.786068275135634,4,295.0,13,73.0
Kevin Harris,RB,NE,0.3738510023636523,344.0,0.0,0.0,24.68078886825909,81.0,0.0676157644169268,1.0,24.675842153061797,4,296.0,13,74.0
Jeremy Ruckert,TE,NYJ,0.3502144795587849,391.0,0.0,0.0,24.569067344404793,57.0,0.06730969088428752,1.0,24.62419959613052,5,297.0,39,1.0
Zay Jones,WR,ARI,0.38588812045872367,332.0,212.0,226.0,24.114465508427863,127.0,0.0660642586248491,0.3293768545994066,24.16378113383751,5,298.0,15,2.0
Charlie Woerner,TE,ATL,0.3491201960955966,395.0,0.0,0.0,23.83958390583336,58.0,0.06531118992097634,1.0,23.88089319968446,5,299.0,39,3.0
Dyami Brown,WR,WAS,0.3745075724415653,341.5,0.0,0.0,23.18277065927852,128.0,0.06351177702611203,1.0,23.10201636025254,5,300.0,13,4.0
Laviska Shenault Jr.,WR,SEA,0.3712247220520004,350.5,0.0,0.0,23.05863524051727,129.0,0.06317169424854928,1.0,23.062334394545893,5,301.0,13,5.0
Jake Bobo,WR,SEA,0.3725378622078263,348.0,0.0,0.0,22.892909341722657,130.0,0.06271766972808142,1.0,22.873901938307405,5,302.0,13,6.0
Pharaoh Brown,TE,SEA,0.34036592839009017,412.0,0.0,0.0,22.74766927635449,59.0,0.06231976842532108,1.0,22.74629189175477,5,303.0,39,7.0
Braxton Berrios,WR,MIA,0.3756018559047536,340.0,0.0,0.0,22.68005384271084,131.0,0.062134528429282014,1.0,22.688093653969005,5,304.0,13,8.0
Will Shipley,RB,PHI,0.33533222445942396,451.0,217.0,230.0,22.54347430967546,82.0,0.06176035361748049,0.3175074183976261,22.586779417307135,5,305.0,15,9.0
Chris Moore,WR,ARI,0.37779042283113023,337.5,0.0,0.0,22.331510803135075,132.0,0.061179656031203074,1.0,22.36678827538258,5,306.0,13,10.0
Tyquan Thornton,WR,NE,0.3694738685108991,355.0,0.0,0.0,22.042149806241962,133.0,0.06038691941723957,1.0,21.986939592866534,5,307.0,13,11.0
Sterling Shepard,WR,TB,0.37034929528144966,353.0,0.0,0.0,21.888727891195938,134.0,0.05996660302786002,1.0,21.88298038763355,5,308.0,13,12.0
Josh Oliver,TE,MIN,0.33992821500481485,414.0,0.0,0.0,21.885895185174405,60.0,0.05995884251485386,1.0,21.868417959056647,5,309.0,39,13.0
Juju Smith-Schuster,WR,NE,0.3699115818961744,354.0,0.0,0.0,21.70217815092366,135.0,0.05945552927905813,1.0,21.746568536420114,5,310.0,13,14.0
Marquez Valdes-Scantling,WR,BUF,0.3742887157489276,343.0,311.0,277.5,21.68602915125217,136.0,0.059411287299468866,0.17655786350148372,21.72827264566258,5,311.0,7,15.0
Andrew Beck,RB,HOU,0.3368642213078876,438.5,0.0,0.0,21.129504961944708,83.0,0.057886627424235754,1.0,21.07113641100031,5,312.0,39,16.0
Tyler Scott,WR,CHI,0.3712247220520004,350.5,320.0,281.0,21.04511521137839,137.0,0.057655432322492726,0.16617210682492578,20.981866151481555,5,313.0,7,17.0
Chris Rodriguez Jr.,RB,WAS,0.3239516764422656,573.5,0.0,0.0,20.853477738386605,84.0,0.05713042016439546,1.0,20.88387431531126,5,314.0,39,18.0
Jamison Crowder,WR,WAS,0.3745075724415653,341.5,0.0,0.0,20.557240876261446,138.0,0.05631884635336446,1.0,20.575628517717142,5,315.0,13,19.0
Equanimeous St. Brown,WR,NO,0.36553444804342117,360.0,0.0,0.0,20.421764909999457,139.0,0.055947694885401994,1.0,20.49144508179297,5,316.0,13,20.0
Keith Kirkwood,WR,BAL,0.3653155913507835,361.0,0.0,0.0,20.41081369208222,140.0,0.05591769280667092,1.0,20.486736058088578,5,317.0,13,21.0
Brock Wright,TE,DET,0.3357699378446993,448.0,0.0,0.0,19.002917353607497,61.0,0.05206060429730856,1.0,18.90794148353366,5,318.0,39,22.0
