Name,Pos,Team,VOR,VOR Rank,ADP Rank,Average ADP,predicted_fantasy_points,Positional_Rank,Proj_Points_Normalized,ADP Normalized,Composite_Score,Tier,Overall_Rank,Cluster,Positional_Rank_Within_Tier
Drake London,WR,ATL,0.7623216317955004,27.0,18.0,20.7,201.39829406521557,17.0,0.5517530123600589,0.9385756676557864,201.56731418160135,1,36.0,25,36.0
Travis Kelce,TE,KC,0.7314628381335901,46.5,34.0,33.7,199.43275302367763,1.0,0.5463681942034825,0.9,198.92049888807335,1,37.0,25,37.0
DJ Moore,WR,CHI,0.7583822113280224,28.0,32.0,32.7,198.41469619154748,18.0,0.5435791143530859,0.9029673590504451,198.66880724296917,1,38.0,25,38.0
Chris Olave,WR,NO,0.7540050774752692,30.0,17.0,20.0,198.05175735088326,19.0,0.542584803057807,0.9406528189910979,198.36390685882165,1,39.0,25,39.0
Dak Prescott,QB,DAL,0.7568502144795587,29.0,71.0,72.7,346.9179228009304,3.0,0.9504202100397411,0.784272997032641,196.6010243676231,1,40.0,37,40.0
Josh Allen,QB,BUF,0.7481397181125801,35.0,23.0,26.0,344.3172480153549,4.0,0.9432953723951606,0.9228486646884273,196.31051027694633,1,41.0,17,41.0
Jaylen Waddle,WR,MIA,0.7391228223759082,40.0,28.0,29.0,195.73968677250105,20.0,0.5362506287176888,0.913946587537092,196.21718159377673,1,42.0,25,42.0
Jalen Hurts,QB,PHI,0.7423619014269456,38.0,31.0,32.7,340.13770650185324,5.0,0.9318450538556614,0.9029673590504451,193.9624397235118,1,43.0,17,43.0
Joe Burrow,QB,CIN,0.743718812921299,37.0,70.0,72.3,339.5318879372728,6.0,0.930185346560213,0.785459940652819,193.70457205356934,1,44.0,37,44.0
Jared Goff,QB,DET,0.6369167469141207,101.0,106.0,103.7,337.6294598797832,7.0,0.9249734334385542,0.6922848664688428,191.85950398142467,1,45.0,6,45.0
Devon Achane,RB,MIA,0.6885669263766087,62.0,21.0,22.7,192.41795663463407,18.0,0.5271503797889575,0.9326409495548962,191.70465387395424,1,46.0,25,46.0
Rhamondre Stevenson,RB,NE,0.7014794712422306,57.0,64.0,66.0,191.46807268243367,19.0,0.5245480671206618,0.8041543026706232,190.94177684135323,1,47.0,22,47.0
